LSOA11CD,LSOA11NM,OID,GOR_CODE,GOR_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,LSOAAREA,LSOA_ID,ALL_RES_C,AGE_0_16C,AGE_65C,NO_CAR_C,BAD_HLTH_C,VB_HLTH_C,B_VB_C,LMTD_ACT,HRP65ONE,HRP65,ALL_HSE,ONEHSE,LON_DEP_C,LSOA11CD2,workLSOA,workLSOAID
E01026419,Breckland 010A,42,E12000006,East of England,E07000143,Breckland,E02005512,Breckland 010,E01026419,Breckland 010A,26225212,1,1218,5.3,49,27,35,16,84,233,63,151,481,102,10,E01026419,E01026419,1
E01026420,Breckland 010B,43,E12000006,East of England,E07000143,Breckland,E02005512,Breckland 010,E01026420,Breckland 010B,11144183,2,1132,3.9,47.2,32,37,14,84.2,203,47,152,470,95,21,E01026420,E01026419,1
E01026421,Breckland 013A,57,E12000006,East of England,E07000143,Breckland,E02005515,Breckland 013,E01026421,Breckland 013A,21794504,3,1730,4.9,45.3,64,70,8,115.3,346,116,270,738,204,36,E01026421,E01026419,1
E01026422,Breckland 011A,48,E12000006,East of England,E07000143,Breckland,E02005513,Breckland 011,E01026422,Breckland 011A,6467298,4,1946,4.1,41.4,133,94,29,135.4,472,168,427,911,266,26,E01026422,E01026419,1
E01026423,Breckland 011B,49,E12000006,East of England,E07000143,Breckland,E02005513,Breckland 011,E01026423,Breckland 011B,4286842,5,1814,6.6,52.4,137,68,20,120.4,320,82,171,751,205,60,E01026423,E01026419,1
E01026424,Breckland 012A,53,E12000006,East of England,E07000143,Breckland,E02005514,Breckland 012,E01026424,Breckland 012A,97619366,6,2078,5.2,46.7,79,98,27,144.7,413,134,309,884,220,31,E01026424,E01026419,1
E01026425,Breckland 005A,16,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026425,Breckland 005A,681418,7,1945,5.8,42.1,238,121,28,163.1,499,168,339,851,272,85,E01026425,E01026419,1
E01026426,Breckland 005B,17,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026426,Breckland 005B,1079099,8,2372,5.4,55.7,389,114,14,169.7,464,183,301,1179,488,88,E01026426,E01026419,1
E01026427,Breckland 005C,18,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026427,Breckland 005C,2351307,9,2198,6.1,44.2,176,80,19,124.2,449,138,366,939,237,49,E01026427,E01026419,1
E01026428,Breckland 003A,8,E12000006,East of England,E07000143,Breckland,E02005505,Breckland 003,E01026428,Breckland 003A,3739765,10,2758,6.7,50.5,172,93,30,143.5,487,104,273,1070,236,108,E01026428,E01026419,1
E01026429,Breckland 003B,9,E12000006,East of England,E07000143,Breckland,E02005505,Breckland 003,E01026429,Breckland 003B,304099,11,1495,5.2,48.7,212,71,21,119.7,335,141,244,701,252,34,E01026429,E01026419,1
E01026430,Breckland 003C,10,E12000006,East of England,E07000143,Breckland,E02005505,Breckland 003,E01026430,Breckland 003C,10522791,12,1793,5.7,42.1,98,69,14,111.1,415,103,266,692,150,28,E01026430,E01026419,1
E01026431,Breckland 003D,11,E12000006,East of England,E07000143,Breckland,E02005505,Breckland 003,E01026431,Breckland 003D,878899,13,1138,4.7,39,103,57,32,96,328,106,225,492,145,21,E01026431,E01026419,1
E01026432,Breckland 005D,19,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026432,Breckland 005D,480958,14,1470,5,46.1,85,65,21,111.1,297,96,241,633,160,25,E01026432,E01026419,1
E01026433,Breckland 005E,20,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026433,Breckland 005E,566456,15,1470,11.1,58.7,77,45,15,103.7,187,47,85,613,167,46,E01026433,E01026419,1
E01026434,Breckland 005F,21,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026434,Breckland 005F,907276,16,1970,5.1,49.1,141,78,24,127.1,376,140,326,915,255,55,E01026434,E01026419,1
E01026435,Breckland 013B,58,E12000006,East of England,E07000143,Breckland,E02005515,Breckland 013,E01026435,Breckland 013B,47609446,17,2242,5.3,49.7,73,72,24,121.7,370,82,227,866,193,37,E01026435,E01026419,1
E01026436,Breckland 001A,0,E12000006,East of England,E07000143,Breckland,E02005503,Breckland 001,E01026436,Breckland 001A,33176861,18,2261,5.5,47.4,74,95,30,142.4,438,138,329,968,242,40,E01026436,E01026419,1
E01026437,Breckland 008A,32,E12000006,East of England,E07000143,Breckland,E02005510,Breckland 008,E01026437,Breckland 008A,8511855,19,1180,4,40.4,58,66,15,106.4,271,88,247,540,138,16,E01026437,E01026419,1
E01026438,Breckland 008B,33,E12000006,East of England,E07000143,Breckland,E02005510,Breckland 008,E01026438,Breckland 008B,24543866,20,1027,4.6,44.9,30,37,17,81.9,195,51,157,432,93,23,E01026438,E01026419,1
E01026439,Breckland 014A,60,E12000006,East of England,E07000143,Breckland,E02005516,Breckland 014,E01026439,Breckland 014A,5906232,21,1533,4.4,48.4,66,54,16,102.4,284,89,254,692,178,26,E01026439,E01026419,1
E01026440,Breckland 014B,61,E12000006,East of England,E07000143,Breckland,E02005516,Breckland 014,E01026440,Breckland 014B,60090640,22,1191,5.2,52.8,37,26,6,78.8,138,37,102,463,101,24,E01026440,E01026419,1
E01026441,Breckland 014C,62,E12000006,East of England,E07000143,Breckland,E02005516,Breckland 014,E01026441,Breckland 014C,36716528,23,1578,4.2,42.8,81,86,26,128.8,368,99,260,651,165,29,E01026441,E01026419,1
E01026442,Breckland 002A,4,E12000006,East of England,E07000143,Breckland,E02005504,Breckland 002,E01026442,Breckland 002A,57860849,24,2163,5.6,43.6,70,105,35,148.6,484,150,368,922,230,33,E01026442,E01026419,1
E01026443,Breckland 002B,5,E12000006,East of England,E07000143,Breckland,E02005504,Breckland 002,E01026443,Breckland 002B,58242044,25,2112,5,46.7,64,85,29,131.7,407,106,278,834,192,35,E01026443,E01026419,1
E01026444,Breckland 012B,54,E12000006,East of England,E07000143,Breckland,E02005514,Breckland 012,E01026444,Breckland 012B,106887076,26,2013,4.4,48.5,56,95,21,143.5,419,110,275,894,236,40,E01026444,E01026419,1
E01026445,Breckland 002C,6,E12000006,East of England,E07000143,Breckland,E02005504,Breckland 002,E01026445,Breckland 002C,55479548,27,2220,5,44.7,103,121,26,165.7,525,147,396,1001,257,47,E01026445,E01026419,1
E01026446,Breckland 004A,12,E12000006,East of England,E07000143,Breckland,E02005506,Breckland 004,E01026446,Breckland 004A,15484693,28,1923,3.4,39.8,111,103,32,142.8,536,177,434,877,246,21,E01026446,E01026419,1
E01026447,Breckland 011C,50,E12000006,East of England,E07000143,Breckland,E02005513,Breckland 011,E01026447,Breckland 011C,812721,29,1511,5.2,52.3,232,95,27,147.3,384,136,214,716,271,65,E01026447,E01026419,1
E01026448,Breckland 013C,59,E12000006,East of England,E07000143,Breckland,E02005515,Breckland 013,E01026448,Breckland 013C,9393225,30,2251,6.1,52.2,53,45,8,97.2,291,80,225,867,157,52,E01026448,E01026419,1
